timestamp_utc,app,active,idle,total,max,pending
2026-09-19T09:55:43Z,app1,0,10,10,10,0
2026-09-19T09:55:43Z,app2,0,10,10,10,0
2026-09-19T09:55:44Z,app1,0,10,10,10,0
2026-09-19T09:55:44Z,app2,1,9,10,10,0
2026-09-19T09:55:46Z,app1,0,10,10,10,0
2026-09-19T09:55:46Z,app2,0,10,10,10,0
2026-09-19T09:55:47Z,app1,0,10,10,10,0
2026-09-19T09:55:47Z,app2,0,10,10,10,0
2026-09-19T09:55:48Z,app1,0,10,10,10,0
2026-09-19T09:55:48Z,app2,1,9,10,10,0
2026-09-19T09:55:49Z,app1,2,8,10,10,0
2026-09-19T09:55:49Z,app2,1,9,10,10,0
2026-09-19T09:55:50Z,app1,1,9,10,10,0
2026-09-19T09:55:50Z,app2,0,10,10,10,0
2026-09-19T09:55:51Z,app1,0,10,10,10,0
2026-09-19T09:55:51Z,app2,2,8,10,10,0
2026-09-19T09:55:53Z,app1,1,9,10,10,0
2026-09-19T09:55:53Z,app2,1,9,10,10,0
